,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(11),2.4147405677563563,0.04232804658649061,2.3341073127247363,2.3854770456009566,2.4135312075072246,2.442952724130996,2.501635089187776,0.0008730111233013566
a(22),2.077334121417723,0.043323112351783294,1.9941182457855007,2.048362752947971,2.0762155357220933,2.1064631369635163,2.16451826682511,0.0009942948796590515
a_std,0.26226679463470276,0.032348124093550264,0.19844290271931647,0.24068362186419962,0.2624155645632348,0.28307712856969375,0.3277792850381068,0.0010973302588593219
a_subj(11).15,2.3050256443948727,0.1794171827674514,1.974131299555554,2.181513778703027,2.2978325136365783,2.421988913924347,2.6755128637442978,0.0023405439459712523
a_subj(11).16,2.387507187669992,0.21117975101315417,1.999497328499087,2.240622777148572,2.3780977716248537,2.5237920470594166,2.8360945936595883,0.0031539419305054274
a_subj(11).17,2.4030468317614884,0.18241453120567935,2.06462244559019,2.278821735420772,2.3961551318284617,2.5218547225617334,2.7762121125134684,0.0023328351530847867
a_subj(11).24,2.4884272693458533,0.21587905906269816,2.0825287386164018,2.341316201370562,2.4777371954331335,2.63109901829525,2.9368142933670573,0.002937146561383529
a_subj(11).26,2.2802256348349563,0.17124071478842515,1.9587354013141978,2.1631481322284687,2.2753708762575404,2.3894244011408277,2.6421530779406877,0.002204774479270845
a_subj(11).28,2.4240413332204893,0.19895229018146865,2.0587375295928765,2.288247986824953,2.4149214733220474,2.5499005829229047,2.8437702455797895,0.0028447263453614696
a_subj(11).30,2.3952142170849866,0.18952170718677472,2.0387526536311533,2.2657124881156543,2.3890541169948443,2.5155782762012553,2.7882102095854977,0.0027900356322231165
a_subj(11).34,2.5057093465267966,0.1853936611029121,2.1564158773399855,2.380039628716643,2.496947904637484,2.6244801621119245,2.8906351799857495,0.0023050947981770784
a_subj(11).36,1.9635186027863951,0.19438961645670758,1.6033804641797078,1.827081565658405,1.9568390558852244,2.0934708321166613,2.3531953872622493,0.004280024286022711
a_subj(11).38,2.5764402736354866,0.18993530054573793,2.2240022812112485,2.445175763018354,2.5704071256026086,2.701110569322358,2.9734095920623034,0.002571033745456838
a_subj(11).40,2.605285816574305,0.19359487689805452,2.2474722535600598,2.4700615335278795,2.5987880421661265,2.7322562298072106,3.0121532119223713,0.0025044246565863342
a_subj(11).42,2.32858181878654,0.1777598443238782,2.005524312806572,2.2030000974338737,2.319784385072838,2.4442260447452036,2.6975503646325434,0.0022973332639984485
a_subj(11).44,2.394938394539289,0.1831663522245064,2.059114751293395,2.2687059332257187,2.386329582214318,2.5117891144061346,2.7750628493082727,0.0022702827720726725
a_subj(11).46,2.4558061191458966,0.19631573338641692,2.0888558404485624,2.320854776202556,2.4487280155705324,2.5829183910373166,2.8594527101726266,0.002517516592651914
a_subj(11).48,2.5827533335510053,0.22310694044431015,2.1870370229552454,2.427033824512705,2.5698371876158346,2.7239207861589527,3.0585064923232896,0.003585753095237252
a_subj(11).50,2.525490673541768,0.1956097096629724,2.172775049684196,2.3889153523954825,2.516691541553991,2.652238763316422,2.937355803911109,0.0024257518761121007
a_subj(11).52,2.1909929306738185,0.16182907234963406,1.884790962982753,2.078708276704366,2.1876769512345593,2.295237727199032,2.52449142673474,0.0023308496990244653
a_subj(11).57,2.5691962224021516,0.19776609629213943,2.203584754769654,2.4355000324371083,2.558540320876078,2.6976930007331,2.9778358646831213,0.0024670709901151297
a_subj(11).59,2.3614015644390025,0.177166310314397,2.0307403913199185,2.2395880753372603,2.3555764286563385,2.47543233395919,2.7232059069270846,0.0016609491840739957
a_subj(11).63,2.401626403857407,0.1945336694270942,2.039492784484704,2.269406360566227,2.393411717880518,2.526519951928755,2.8103157233028684,0.0029556150627330965
a_subj(11).72,2.3140321175514256,0.1775456062380343,1.9892235323691099,2.1902561854435962,2.3069374431823406,2.4316884591266446,2.673995426621737,0.002577337168852661
a_subj(11).79,2.226218170380932,0.16067158533543496,1.9279610954708108,2.1142281692906737,2.2215118208820543,2.334008627252256,2.5536973212186256,0.0022830546712637586
a_subj(11).83,2.630406991698688,0.20932201834662573,2.2491352249045136,2.485271524800903,2.619473606381556,2.7683144997469498,3.059864904962664,0.0030448238692082274
a_subj(11).87,2.3245456297118845,0.19247041330947773,1.9794091133773453,2.1912354941090015,2.313195824913235,2.449426219883277,2.7308189158351692,0.003129464249194128
a_subj(11).92,2.5994443854925113,0.19001472829241609,2.255772813062034,2.466001918268855,2.590659604083472,2.7205474362782116,2.994898333000359,0.002376588399713715
a_subj(11).94,2.4865851720593986,0.17791586654735578,2.1581086059832906,2.3631307764871416,2.478954303793278,2.6012534482514686,2.8610532359737,0.0023582925336807477
a_subj(11).95,2.045671532324955,0.17842124599250603,1.7006917221125037,1.9212654080314726,2.044922700469132,2.1667369891816217,2.4064537674963926,0.0032757102669093755
a_subj(11).97,2.6164952253895457,0.1868245615032799,2.275272369289215,2.48689086284132,2.60839137568589,2.7383611958292526,3.009814616822309,0.0023471316655187075
a_subj(11).100,2.370218431432878,0.17953220338072137,2.0313229398676067,2.2472618048002757,2.3658099714003304,2.486501832311954,2.732674076673603,0.0029703304239975586
a_subj(11).105,2.420104190293772,0.1703630570026861,2.1020629936632034,2.302766256508839,2.4135083176415306,2.5307198934456547,2.771383422847936,0.0021997364769609684
a_subj(11).107,2.2020291133744916,0.17315751194719986,1.8816652703469225,2.082709059854501,2.1963021570499746,2.3139628942843684,2.559180584261713,0.002235779090982532
a_subj(11).108,2.171263847739438,0.1662084854796548,1.8606978976998214,2.055523895148796,2.168581174358507,2.2812909511268913,2.5081606593945605,0.00251343900221396
a_subj(11).109,2.376555417324555,0.17881946470145804,2.0477841379363113,2.2522633295816323,2.3695492725894636,2.4919974734707613,2.7509730691335115,0.002365470372696874
a_subj(11).112,2.6137271353420592,0.1905936672950086,2.261906914709515,2.48113694707544,2.6034869478095377,2.7350882343797425,3.0166482799831806,0.0019777456487825827
a_subj(11).117,2.5924200909250943,0.18226535940573524,2.2560704311461053,2.4681293750594686,2.5851170841937265,2.710943493777107,2.9753313440873996,0.0026935391699722784
a_subj(11).118,2.182390380021048,0.18026150574374647,1.8378220121081585,2.0593261192673533,2.1782157310303183,2.3001361712520163,2.548375934303886,0.002908993736976093
a_subj(11).119,1.928700783412626,0.1550766716793686,1.6357704057465865,1.821185146878372,1.9237686208406077,2.0326287904703926,2.2409272765535273,0.0028165925919176383
a_subj(11).121,2.450862217476258,0.20119915783561126,2.079705108308837,2.311201749984574,2.4436736660163185,2.578702386256853,2.8748481696653254,0.002654774816868424
a_subj(11).123,2.619805714924899,0.20098257274881828,2.2493211973535816,2.478612681306866,2.6125232701103394,2.749954445016369,3.042665017423001,0.0027273129845035507
a_subj(11).126,2.4327178453998313,0.18683538532150082,2.091720260818847,2.305335361248648,2.425968632142576,2.5525651361120762,2.8232807562457385,0.002668918904380437
a_subj(11).130,2.478753675400359,0.17767126786681733,2.1471032876906833,2.3565595563005877,2.4726508713480486,2.5922835041859957,2.846803388390673,0.002190914181083544
a_subj(11).131,2.6543252883085757,0.20621943921171293,2.2777042918636727,2.5122545118989286,2.64299690242097,2.786386908724924,3.0856165692643884,0.003023490873761034
a_subj(11).134,2.4762150184737273,0.19576021472074104,2.1197683224337607,2.338745618609659,2.467447618800342,2.603455348314193,2.8892337869243874,0.0029957200452842654
a_subj(11).135,2.2145236428812645,0.18630545428891931,1.8636953475524953,2.0865527997843283,2.2104108358838115,2.3374921527945354,2.5922241024978483,0.0026212765620793454
a_subj(11).136,2.25168306766726,0.19625469996239828,1.88298370438359,2.116111124046709,2.245857749802916,2.380549857586003,2.644557928570711,0.0028140165350475314
a_subj(11).142,2.6494420040689795,0.20710964250771294,2.272099323245016,2.5056150887934736,2.638577751023475,2.7814454495959393,3.081019592798539,0.002806216853659834
a_subj(11).145,2.466007545737301,0.189937525531396,2.112715293913307,2.3353964171056267,2.458866124240242,2.5892597987691084,2.8540490766406528,0.0030553528775205353
a_subj(11).146,2.6000551668071386,0.19846983129636855,2.238140902144881,2.4612431257746192,2.592301219097847,2.7310706477613804,3.0118835800896515,0.0029809826327980137
a_subj(11).148,2.6098417441894144,0.19766194150834243,2.243112605494687,2.4745244826511263,2.6016881736549093,2.73652253929481,3.0209755383523684,0.002918430212194799
a_subj(11).152,2.512527474300048,0.2103898075340895,2.124695708870128,2.369376918721094,2.5050337913973237,2.6444933241576614,2.9577913558471662,0.0033518594916750336
a_subj(11).154,2.227137017980882,0.1766478301518693,1.9037271917189578,2.10527711888475,2.218155014624772,2.3440155772205555,2.592021880770562,0.0025856492980362395
a_subj(11).155,2.3475937302886116,0.18600477531566623,2.0033571147948,2.220042711654291,2.3402713619363142,2.4657971398882594,2.734350257380288,0.00214526464733951
a_subj(11).157,2.5571572902304354,0.17877511455778963,2.2252581028423206,2.434011419844023,2.5484756895958283,2.673261040272642,2.9263094999524037,0.0021811987351404755
a_subj(11).159,2.550361844945451,0.19099709346392263,2.200509095878346,2.4185488119926606,2.542438807502106,2.6746859643467196,2.943261554200234,0.00271974312376283
a_subj(11).161,2.541431393020505,0.190949716902865,2.1902271423267226,2.4124024158815924,2.53280727064489,2.664025910584349,2.9456494535348874,0.0026331652332269237
a_subj(11).176,2.543471302070513,0.19939067687321393,2.1827771085891063,2.4032567007110375,2.5324316718566147,2.6713503335249795,2.9675582305890287,0.0027336363267084023
a_subj(11).178,2.4285702311321806,0.1791890678780805,2.0992667518177184,2.306561592455289,2.420915891150138,2.5423312091791606,2.8051637713074133,0.0025045248985281726
a_subj(11).179,2.576568497350926,0.2257892696112211,2.161312860809053,2.418861308817192,2.567877898886578,2.7215359572528057,3.053441129101695,0.0027172616819580984
a_subj(11).181,2.480299157183884,0.17947313501799117,2.1475664935772913,2.3554552142873284,2.4743294616400187,2.598394332869063,2.8551010776381878,0.0024364050213112405
a_subj(11).183,2.429057430764745,0.18230791015246542,2.0955299728786825,2.303041235282533,2.4231356100604398,2.5465934195633877,2.808787745841379,0.002328702300371895
a_subj(11).184,2.238707073752715,0.16209641736748112,1.9406770681550265,2.1265776205711626,2.2353075744879067,2.3452471376722874,2.565133771066117,0.002232063364634626
a_subj(11).186,2.557990379392859,0.18832385662414702,2.206539716969109,2.4274579753381063,2.5525507730695223,2.678445294931469,2.946790710908987,0.0025039769357964948
a_subj(11).189,2.5033132564954563,0.25628942500259905,2.0364225543185195,2.3274243339423837,2.49153145486496,2.668002850833222,3.041551593752264,0.003344392585691284
a_subj(11).193,2.3788920725409595,0.18340137056291636,2.037388160811428,2.251992804737062,2.3705300638743907,2.4970255260855465,2.7610243125189724,0.0024535165897381942
a_subj(11).194,2.4890532175730677,0.19237061813486703,2.1372195302401518,2.3569205668342237,2.4828886049707886,2.6144076544841237,2.889526011748938,0.0027169421438645192
a_subj(11).196,2.5535316811650848,0.20364353066788224,2.1814182639742103,2.4096571183794464,2.5422913215645986,2.6865584804775,2.98428610455863,0.0024318553414595274
a_subj(11).1001,2.3821891113132905,0.18510660949637145,2.048008648118539,2.2551059765655763,2.373610314038353,2.499139060606477,2.776417898344309,0.0028496540119528793
a_subj(11).1003,2.553361171111275,0.20266820521720974,2.1825965459148318,2.4114798389191145,2.5436716850990626,2.6841754249461474,2.976943729281702,0.003851464999056504
a_subj(11).1007,2.3916835700133117,0.17486302080886262,2.0669829369150854,2.2726434287298742,2.384190608148173,2.5009443976665233,2.7519873338133167,0.0023163833047144854
a_subj(11).1009,2.3505387427750213,0.17302000418475516,2.03021489394181,2.229641887812211,2.3444355991740515,2.4625386595767607,2.7000343866601555,0.0019842185315309003
a_subj(11).1015,2.3525153147272286,0.18100901366450756,2.016368031027365,2.228890221297175,2.3466029191259716,2.470748726852879,2.726619524642004,0.0020243079963455568
a_subj(11).1017,2.191041127975897,0.17143139011333472,1.8704288615926854,2.074547593730614,2.1839494389426695,2.3006827838423103,2.5441692389606185,0.0024194837874315176
a_subj(11).1021,2.4576856963254374,0.19880993162935487,2.092547093655655,2.3217462640460993,2.4479223182930663,2.587693454630542,2.8671496881719323,0.002883387478258617
a_subj(11).1025,2.226634301780218,0.17346583245967223,1.908258326962446,2.108957317832646,2.216480648184219,2.337501426060058,2.5956402166541546,0.00236921385616581
a_subj(11).1027,2.3015064464040544,0.19041514906764576,1.947686100062945,2.171801222623793,2.2932592681994217,2.4248754366495113,2.7001418347656303,0.0033557406234678566
a_subj(11).1029,2.364683626644617,0.17168707047922385,2.0394418520176303,2.2470845441701752,2.360259512516651,2.4764828810029456,2.718599677944068,0.001980433694387106
a_subj(11).1031,2.3095255285146523,0.19563895146749377,1.9390976421742052,2.1775032115226773,2.3042469853534873,2.4383016049911688,2.712899337287914,0.00326144622217683
a_subj(11).1033,2.325133172023754,0.16707305103032236,2.014970523283027,2.2094828889506752,2.318511584429985,2.4348663067856187,2.666019780139436,0.0022252310632706216
a_subj(11).1035,2.133312012751851,0.19095184505598467,1.7714445395027727,2.0021455302200026,2.129209493767315,2.261641549914122,2.5173141608742786,0.0038492027258486016
a_subj(11).1041,2.31557627068196,0.20037530328371914,1.9505731574487233,2.174379910353003,2.306526608618212,2.4477563561251032,2.741244185327621,0.0034482341722997974
a_subj(11).1043,2.7099669861360205,0.20223833593320117,2.3493905284003587,2.567940240862832,2.6986831751218867,2.838272413050992,3.1424948999263593,0.002816573902174236
a_subj(11).1045,2.3694999580810916,0.1844633163251241,2.040352610594497,2.2396593747147038,2.359776701966661,2.4862243943978988,2.759715098157801,0.0024068795404403455
a_subj(22).15,1.9699252057881627,0.1948656243519732,1.6154289103859614,1.8324605662426448,1.958611037947251,2.0995033764844377,2.380054623558038,0.0028465975609194127
a_subj(22).16,2.212296336141617,0.19966026833774486,1.8569854229555862,2.0751968963124914,2.1986431397158963,2.3349100421968796,2.6376332747006916,0.002919232497819138
a_subj(22).17,2.1647456541961656,0.18558868452058272,1.8261704601414126,2.03708745575714,2.1543333973833754,2.2828047257747106,2.558419576684972,0.002902937310849629
a_subj(22).19,2.10609934626,0.21622276971237947,1.7180557707690345,1.954165201599801,2.094405434624775,2.2477331207099813,2.5598149728023953,0.004059178809016918
a_subj(22).24,2.3507378365996994,0.20024006331069535,1.9909051058176184,2.2090819232735615,2.341944311584196,2.4809020484665183,2.7696338883984355,0.002989123902274881
a_subj(22).26,1.7190745207193245,0.1769017485553433,1.391282398763919,1.5965455509514834,1.7124790970060741,1.8357281350215129,2.086823399800064,0.0034290233633423053
a_subj(22).28,1.8945717172497072,0.18998067443412725,1.5510758285460442,1.7637020492507285,1.8842654559791991,2.0140630567024056,2.3015526558002413,0.0031811414901348834
a_subj(22).30,2.1142830227083436,0.1931733801984525,1.7649742409474323,1.979577216696747,2.105051137345372,2.2370983974889485,2.531110829356836,0.002908899780549093
a_subj(22).34,1.8736857003588012,0.18776971986697752,1.5319313240353116,1.7414744556256272,1.8639165491524299,1.9956975305799756,2.25899707574214,0.0034129856952642016
a_subj(22).36,2.1636116660461377,0.20321495560099256,1.792617881459055,2.023332516051406,2.1562563388136664,2.2902008674072145,2.595814297476295,0.0027634398359853013
a_subj(22).38,2.0528979110900374,0.17623548546315473,1.7315936447382416,1.9321834112807406,2.0435689518727242,2.168009348533722,2.425075523819965,0.0023023490510470715
a_subj(22).40,2.125726144422349,0.19483934792862953,1.7687101642439236,1.9910302606612065,2.1195169413012467,2.251229913845004,2.5285344495396904,0.0028446194149801705
a_subj(22).42,2.236378804388568,0.21091369761382633,1.8407795399387972,2.0920070364001293,2.2267010832927876,2.372399297856796,2.6732474833864,0.003238179312102746
a_subj(22).44,2.1973947190073506,0.19507829145108918,1.834261752941365,2.0618503044990195,2.1893813052908278,2.3247697127221807,2.596668067747384,0.0028857614789493313
a_subj(22).46,2.0385394755533484,0.19461133126567676,1.6889072223947643,1.9002410072873186,2.02983331787715,2.1615659916490833,2.447962211317946,0.0028808895710569975
a_subj(22).48,2.0216230487614846,0.1923290871912716,1.6801527367628695,1.8891815893713797,2.0113438854253354,2.143791690075197,2.432724358456996,0.0031976498500291472
a_subj(22).50,2.094067096811706,0.1987901586852406,1.7108296510084113,1.9610807857008423,2.0935639857556505,2.225961002171436,2.4916194799749203,0.00234149460685162
a_subj(22).52,1.5515489722332125,0.17589783222018693,1.2255052003746807,1.4295590336559276,1.5458341983535295,1.6645896639005908,1.921831654697655,0.0036036882324340506
a_subj(22).57,2.441812828973076,0.2018404065152515,2.0734850102469125,2.3026192152593645,2.4327176947512625,2.5724776313606816,2.859585512085123,0.003985222924864646
a_subj(22).59,1.9907834147880388,0.19981581115567323,1.6254617142391372,1.8519970851411005,1.9820587069304088,2.118394495299119,2.4108232309329,0.0034325850708683743
a_subj(22).63,2.2947076723073647,0.20871531551860364,1.9220828116376163,2.1470033716405643,2.281600935865267,2.4279085227548527,2.7352719845134743,0.0030950454328884233
a_subj(22).72,1.8489058838319674,0.17892902396318414,1.515448697181159,1.7262390094127862,1.8395882240293342,1.9670638771167115,2.2159130102976157,0.002947153681782181
a_subj(22).79,1.9353604205305117,0.1896031986302091,1.5925447225857328,1.802671525075164,1.9250573948956484,2.0574308892085957,2.332262967452607,0.002958653627400349
a_subj(22).83,2.3332925089146026,0.193618415543722,1.9744843017289853,2.1990978851161382,2.3260490298973777,2.4591901594654084,2.7307246081758945,0.003506071533487874
a_subj(22).87,2.249272884018687,0.2119139992709836,1.8658679726723468,2.100665788615078,2.238056533322232,2.3852580822713048,2.691935148991547,0.0029233435638883294
a_subj(22).92,2.028028422505332,0.1893393465575379,1.6851425567301341,1.8947533098332785,2.0206584261910465,2.149842104695084,2.4279732549680615,0.0028808421034111197
a_subj(22).94,2.052526113496272,0.19168219786878216,1.7013995462610785,1.9180101567761263,2.046444770685528,2.1767315817684567,2.46118859773547,0.0029645678027933613
a_subj(22).95,1.9588101990590197,0.1823218089136787,1.627588881514499,1.8343120568690343,1.9489480705637443,2.077832559643616,2.340668811214335,0.002700211957065014
a_subj(22).97,2.435662169858303,0.21314803520971476,2.0517559500810383,2.288442527472303,2.4240271924951315,2.567945896483352,2.896507360417851,0.0031014090815892742
a_subj(22).100,2.2774054006625737,0.19316561136494997,1.9242257534543048,2.1442956407343408,2.2674227026985543,2.399132075996935,2.6895724758253814,0.0026764577190311585
a_subj(22).105,2.1244401547141436,0.18644936086296712,1.784004312195132,1.9954103217820376,2.116378365246641,2.2445065451883046,2.5117736132401136,0.002708678236544987
a_subj(22).107,1.947501661480766,0.1934743533570325,1.5988794261712354,1.8126752092599054,1.9355712669491119,2.071250971896487,2.3523420080318633,0.0030498369310463023
a_subj(22).108,2.0823123038721882,0.22096961685460798,1.6847830627502856,1.9270743786696147,2.0719017778251665,2.2262425150162017,2.545114699800993,0.003940049568333523
a_subj(22).109,1.9404699732970716,0.19109488078525974,1.587801374991272,1.8091776302186473,1.9306165981984187,2.063307397906723,2.3455751868408976,0.003073096839796246
a_subj(22).112,1.9224225839504316,0.18320537082188842,1.5895374708825525,1.7968410095956464,1.9131276854807475,2.0390932687421004,2.3109846717800155,0.002588111496164828
a_subj(22).117,1.7589665402980297,0.18244415298942684,1.4213111046406994,1.6291169608331972,1.7531679150971329,1.8798096602613126,2.1322864264962176,0.0033001315900877425
a_subj(22).118,1.9454328774706897,0.19807155512629585,1.5902634813647583,1.8073404650236355,1.9334438657465003,2.071382981891815,2.362765997874536,0.0030684982540432437
a_subj(22).119,1.9307484770258339,0.19028088027520507,1.5835943933506136,1.7993780235389003,1.9239953897882989,2.0543733595975873,2.326586719974279,0.002989959169074161
a_subj(22).121,2.00162515790977,0.19495288604532957,1.6443729818639978,1.8694262300684379,1.993976403364369,2.1247912416288193,2.4070943506830025,0.0029144421071851177
a_subj(22).123,2.1706904172153654,0.1972317852610074,1.8121323826493223,2.0355431767964514,2.16026671151631,2.2951174433473644,2.5927228436391436,0.0030648108256347063
a_subj(22).126,1.8807273829884223,0.1973177519093163,1.5063944981242812,1.7468399966944876,1.8757443535213758,2.0102110764167627,2.2830025833476153,0.003691176819333241
a_subj(22).130,1.7833818143850821,0.16739864820568334,1.4731774818031735,1.6689024184064287,1.7787079857782009,1.891347218832149,2.1268452072664497,0.0027959934502623076
